userid;Average Screen Time;Average Spent on App (INR);Left Review;Ratings;New Password Request;Last Visited Minutes
1001;1700;63400;1;9;7;2990
1002;0;5400;0;4;8;24008
1003;3700;20700;0;8;5;971
1004;3200;44500;1;6;2;799
1005;4500;42700;1;5;6;3668
1006;2800;59900;0;9;4;2878
1007;4900;88700;1;9;6;4481
1008;800;3100;0;2;1;1715
1009;2800;74100;1;8;2;801
1010;2800;52400;1;8;4;4621
1011;4400;68800;1;8;5;1293
1012;2400;46600;1;10;4;4214
1013;100;4900;0;3;7;9008
1014;4100;84500;0;10;7;3107
1015;3200;25100;0;5;4;2595
1016;1100;16900;0;10;3;577
1017;3800;77600;1;7;4;2965
1018;3400;34100;0;6;1;3124
1019;2100;25000;0;7;5;3460
1020;1800;96700;1;10;6;1925
1021;1500;77400;1;7;1;631
1022;3400;48200;0;6;8;4057
1023;1100;64500;1;9;2;2946
1024;2600;68800;0;9;4;4702
1025;3400;40000;0;8;4;4189
1026;4800;7300;1;10;2;2894
1027;3300;46000;0;9;2;1049
1028;4900;84800;0;5;4;419
1029;900;4600;0;0;2;3273
1030;4700;19500;1;9;4;4060
1031;3400;11400;0;9;6;1148
1032;3000;97600;1;6;8;4784
1033;3500;93200;1;9;4;2808
1034;1200;24300;1;5;5;2920
1035;1200;22200;0;7;6;4096
1036;2200;41000;1;5;7;767
1037;300;7000;0;5;3;3650
1038;0;9600;0;4;6;4107
1039;100;9700;0;1;7;37959
1040;4000;20700;1;7;5;2425
1041;4100;51900;0;7;2;3511
1042;2100;62100;1;5;7;3471
1043;1200;46100;0;10;2;2571
1044;400;9300;0;2;8;49334
1045;1700;80000;0;10;5;520
1046;4300;12500;1;8;5;1553
1047;300;3400;1;5;6;39016
1048;5000;40500;0;8;4;4478
1049;1900;65400;0;6;5;1197
1050;4400;90800;1;10;3;3489
1051;2500;87500;1;9;8;644
1052;3700;51900;0;5;6;3408
1053;1500;26000;1;5;1;1353
1054;4200;91100;1;9;1;1356
1055;4200;21400;0;10;3;3575
1056;1500;77100;1;10;1;3339
1057;4500;72600;0;5;1;2587
1058;2500;11000;0;9;4;4704
1059;3400;19600;0;6;4;3410
1060;3700;15700;1;10;7;4131
1061;3200;91200;0;10;5;873
1062;500;6700;0;2;6;30435
1063;4900;88900;0;10;5;4991
1064;2000;51200;1;7;8;3847
1065;500;2600;1;3;6;40868
1066;4900;20200;0;6;2;1759
1067;3200;23400;1;9;2;2126
1068;3700;96600;1;7;2;794
1069;0;4800;1;4;10;26405
1070;800;9800;1;3;7;2483
1071;4900;72300;0;9;3;1847
1072;4300;73800;0;5;6;4962
1073;3900;52800;0;6;2;4237
1074;3500;88100;1;10;8;1290
1075;900;9000;0;0;2;453
1076;5000;36000;1;7;2;479
1077;4000;81100;1;10;8;4574
1078;4600;39800;0;7;2;4302
1079;4100;38400;1;7;6;4513
1080;1100;97400;0;10;4;4076
1081;2200;22200;0;10;6;4913
1082;1800;99000;1;6;7;3660
